"id"	"name"	"type"	"unit"	"Jan 2014"	"Feb 2014"	"Mar 2014"	"Apr 2014"	"May 2014"	"Jun 2014"	"Jul 2014"	"Ago 2014"	"Sep 2014"	"Oct 2014"
"sech"	"TERMINAL SECH"	"container"	"teu"	24222	33145	31689	31763	35998	43911	42171	35849	43058	45838
"sech"	"TERMINAL SECH"	"miscellaneous goods"	"tons"	52	116	21	258	0	53	0	28	0	170
"sech"	"TERMINAL SECH"	"trucks"	"mtl"	0	0	0	0	0	0	0	0	0	0
"sangiorgio"	"TERMINAL SAN GIORGIO "	"container"	"teu"	8213	8175	8564	9234	7913	8871	7660	6031	6423	7006
"sangiorgio"	"TERMINAL SAN GIORGIO"	"miscellaneous goods"	"tons"	6992	6978	10859	7227	1465	4120	6669	452	4349	3125
"sangiorgio"	"TERMINAL SAN GIORGIO"	"trucks/vehicles"	"mtl"	105058	116244	137214	121744	144647	130138	144852	116546	144532	141976
"sangiorgio"	"TERMINAL SAN GIORGIO"	"vehicles "	"num"	2545	4079	5538	5146	4726	3830	3464	3331	3354	3822
"sangiorgio"	"TERMINAL SAN GIORGIO"	"passengers"	"num"	0	0	0	0	0	0	0	0	0	0
"messina"	"TERMINAL MESSINA"	"container"	"teu"	15968	13051	16717	17357	20408	15964	17147	13741	19699	13511
"messina"	"TERMINAL MESSINA"	"miscellaneous goods"	"tons"	2476	937	2471	3684	959	1601	491	801	2255	1634
"messina"	"TERMINAL MESSINA"	"trucks"	"mtl"	12615	6315	11441	13057	11342	9444	7137	9857	7936	7209
"gmt"	"GENOA METAL TERMINAL"	"container"	"teu"	93	52	76	81	0	374	226	85	30	27
"gmt"	"GENOA METAL TERMINAL"	"miscellaneous goods"	"tons"	34196	20293	21524	22497	51272	31380	26644	36943	35855	31448
"gmt"	"GENOA METAL TERMINAL"	"trucks"	"mtl"	0	0	0	0	0	0	0	0	0	0
"gpt"	"TERMINAL REBORA"	"container"	"teu"	16491	20367	25674	24783	24407	27268	28296	18082	18683	24803
"gpt"	"TERMINAL REBORA"	"miscellaneous goods"	"tons"	0	0	14	0	32	182	0	22	82	74
"gpt"	"TERMINAL REBORA"	"trucks"	"mtl"	29931	37696	42669	36992	44818	41465	39973	33141	39304	44583
"rinfuse"	"TERMINAL RINFUSE"	"minerals"	"tons"	91551	53751	52096	66305	53692	12278	52263	144105	23711	92498
"rinfuse"	"TERMINAL RINFUSE"	"steel and miscellaneous goods"	"tons"	1334	2428	2553	2999	1951	1834	2357	534	689	923
"rinfuse"	"ROLCIM (T. Rinfuse)"	"cemento"	"tons"	3000	3000	0	10190	5198	0	2997	8003	5164	7250
"portopasseggeri"	"STAZIONI MARITTIME"	"passengers"	"num"	93434	74348	92049	184946	173613	281941	439379	601862	342348	198712
"portopasseggeri"	"STAZIONI MARITTIME"	"vehicles"	"num"	24458	17111	23055	35081	39532	80780	127337	178627	102926	45548
"portopasseggeri"	"STAZIONI MARITTIME"	"trucks"	"mtl"	142794	144067	163949	158001	169627	163172	174168	113843	160570	178026
"portopasseggeri"	"STAZIONI MARITTIME"	"new vehicles"	"num"	1015	1704	820	871	927	1415	268	4	20	903
"forest"	"TERMINAL FOREST"	"timber"	"tons"	13590	13129	8062	14380	5738	11274	5991	4350	19395	15123
"forest"	"TERMINAL FOREST"	"miscellaneous goods"	"tons"	0	0	0	0	0	111	300	77	0	26
"frutta"	"TERMINAL FRUTTA"	"container"	"teu"	0	0	0	0	0	0	0	0	0	0
"frutta"	"TERMINAL FRUTTA"	"vegetables"	"tons"	0	0	0	0	0	0	0	0	0	0
"frutta"	"TERMINAL FRUTTA"	"miscellaneous goods"	"tons"	0	0	0	0	0	0	0	0	0	0
"frutta"	"TERMINAL FRUTTA"	"vehicles"	"num"	0	0	0	0	0	0	0	0	0	0
"frutta"	"TERMINAL FRUTTA"	"trucks"	"mtl"	0	0	0	0	0	0	0	0	0	0
"vte"	"V.T.E."	"container"	"teu"	92102	91219	95728	93729	97077	99464	109016	89628	98721	106124
"vte"	"V.T.E."	"car carrier"	"tons"	856	0	681	0	1217	0	674	1036	778	442
"vte"	"V.T.E."	"miscellaneous goods"	"tons"	159	127	25	307	208	16	399	213	249	148
"vte"	"V.T.E."	"trucks"	"mtl"	0	0	0	0	0	0	0	0	0	0
"vte"	"V.T.E."	"vehicles"	"num"	0	0	0	0	0	0	0	0	0	0
"vte"	"V.T.E."	"passengers"	"num"	0	0	0	0	0	0	0	0	0	0
"enel"	"ENEL"	"coal"	"tons"	0	0	0	0	0	0	0	0	0	0
