"id"	"name"	"type"	"unit"	"Jan 2013"	"Feb 2013"	"Mar 2013"	"Apr 2013"	"May 2013"	"Jun 2013"	"Jul 2013"	"Aug 2013"	"Sep 2013"	"Oct 2013"	"Nov 2013"	"Dec 2013"
"sech"	"TERMINAL SECH"	"container"	"teu"	21994	23688	23534	25277	22346	28211	34859	28905	3047	32864	25434	27847
"sech"	"TERMINAL SECH"	"miscellaneous goods"	"tons"	130	0	103	47	0	142	13	50	99	0	0	0
"sech"	"TERMINAL SECH"	"trucks"	"mtl"	0	0	0	0	0	0	0	0	0	0	0	0
"sangiorgio"	"TERMINAL SAN GIORGIO "	"container"	"teu"	4024	656	7815	7011	6665	8518	8183	6109	6014	765	9325	9522
"sangiorgio"	"TERMINAL SAN GIORGIO"	"miscellaneous goods"	"tons"	4335	2665	2404	1299	1909	305	3127	3199	2588	10383	5759	8827
"sangiorgio"	"TERMINAL SAN GIORGIO"	"trucks/vehicles"	"mtl"	105363	113845	107562	98792	109933	12165	135006	114517	127571	125408	137612	112227
"sangiorgio"	"TERMINAL SAN GIORGIO"	"vehicles "	"num"	3209	3223	2561	26	2464	2384	3089	1414	2991	2793	368	3427
"sangiorgio"	"TERMINAL SAN GIORGIO"	"passengers"	"num"	0	0	0	0	0	0	0	0	0	0	0	0
"messina"	"TERMINAL MESSINA"	"container"	"teu"	17288	11467	19182	17332	15873	16732	15882	12743	16732	1436	13768	14894
"messina"	"TERMINAL MESSINA"	"miscellaneous goods"	"tons"	786	289	337	1224	55	1143	894	45	1051	2078	908	43
"messina"	"TERMINAL MESSINA"	"trucks"	"mtl"	10293	5676	10738	13495	8396	11708	10852	8939	8432	10379	6615	9099
"gmt"	"GENOA METAL TERMINAL"	"container"	"teu"	173	57	154	75	75	40	162	22	145	294	103	60
"gmt"	"GENOA METAL TERMINAL"	"miscellaneous goods"	"tons"	13961	30372	2158	14252	39996	10871	1742	18136	39348	20194	22062	13985
"gmt"	"GENOA METAL TERMINAL"	"trucks"	"mtl"	0	0	0	0	0	0	0	0	0	0	0	0
"gpt"	"TERMINAL REBORA"	"container"	"teu"	18611	17031	18589	16731	19547	17381	17924	17044	1371	19035	17981	16672
"gpt"	"TERMINAL REBORA"	"miscellaneous goods"	"tons"	0	0	0	89	29	0	27	19	108	40	0	15
"gpt"	"TERMINAL REBORA"	"trucks"	"mtl"	3379	37903	42263	41386	41146	39414	37292	29892	42079	40896	39693	38345
"rinfuse"	"TERMINAL RINFUSE"	"minerals"	"tons"	42343	48022	92233	97248	52962	56223	16481	104087	79013	131709	28431	75031
"rinfuse"	"TERMINAL RINFUSE"	"steel and miscellaneous goods"	"tons"	369	2651	2023	2236	3139	127	0	0	2148	2455	162	3124
"rinfuse"	"ROLCIM (T. Rinfuse)"	"cemento"	"tons"	3006	5048	9835	7241	3014	4346	6187	3001	5059	6	3	14797
"portopasseggeri"	"STAZIONI MARITTIME"	"passengers"	"num"	101183	69292	130481	162864	212949	298319	45897	624573	37144	229578	123307	116237
"portopasseggeri"	"STAZIONI MARITTIME"	"vehicles"	"num"	28627	17203	25293	31138	40711	76503	124606	175667	99409	40324	23679	31058
"portopasseggeri"	"STAZIONI MARITTIME"	"trucks"	"mtl"	139096	136813	163358	146264	164712	154701	162652	107776	156892	171371	163073	144578
"portopasseggeri"	"STAZIONI MARITTIME"	"new vehicles"	"num"	338	142	169	560	744	670	562	333	172	664	548	143
"forest"	"TERMINAL FOREST"	"timber"	"tons"	9891	13471	15291	15377	14697	14994	16173	13418	12064	19909	9142	12924
"forest"	"TERMINAL FOREST"	"miscellaneous goods"	"tons"	0	0	0	46	192	123	22	34	0	0	0	0
"frutta"	"TERMINAL FRUTTA"	"container"	"teu"	3	3	13	4	6	24	17	0	0	0	0	0
"frutta"	"TERMINAL FRUTTA"	"vegetables"	"tons"	0	0	0	0	0	0	0	0	0	0	0	0
"frutta"	"TERMINAL FRUTTA"	"miscellaneous goods"	"tons"	0	0	4	2	1235	603	853	0	0	0	0	0
"frutta"	"TERMINAL FRUTTA"	"vehicles"	"num"	623	534	2404	2494	3073	1206	1332	0	0	0	0	0
"frutta"	"TERMINAL FRUTTA"	"trucks"	"mtl"	1143	466	12642	9467	15682	8079	9083	0	0	0	0	0
"vte"	"V.T.E."	"container"	"teu"	93977	97163	100505	108766	102504	98099	111492	88322	92057	95831	88941	99592
"vte"	"V.T.E."	"car carrier"	"tons"	3502	1667	2833	2477	3457	232	5006	919	1692	1287	293	1089
"vte"	"V.T.E."	"miscellaneous goods"	"tons"	295	249	196	227	378	427	531	304	211	279	359	314
"vte"	"V.T.E."	"trucks"	"mtl"	0	0	0	0	0	0	0	0	0	0	0	0
"vte"	"V.T.E."	"vehicles"	"num"	0	0	0	0	0	0	0	0	0	0	0	0
